geodesic,k,rho_geo_mean,rho_geo_std
analytic,1,0.15284676457965218,0.0002641684557100708
analytic,2,0.2626526114998864,0.0009346788095106217
analytic,3,0.36698412478509757,0.0022588051123672882
analytic,4,0.4592424203124139,0.005062388259448308
analytic,6,0.6025370499441685,0.013718671858764386
analytic,8,0.6966504768524872,0.02318440949747378
analytic,10,0.7567558329853621,0.029402461596247653
analytic,13,0.8052528827583886,0.03329626251797485
analytic,16,0.8263578812063358,0.033525134956720534
analytic,20,0.8403556821323165,0.031158938984825007
analytic,25,0.8522327724146919,0.028164721657304045
analytic,32,0.8638502676854242,0.024983501365476366
analytic,40,0.8724969823209904,0.022490061710375098
analytic,50,0.8783665170807128,0.02062333560050552
analytic,65,0.8793816139789115,0.01986328416083281
analytic,85,0.8692107584847978,0.022248998467474124
analytic,100,0.8543167621528732,0.026605723696098822
analytic,150,0.7719737611195737,0.055793943544471744
analytic,200,0.6668012146332175,0.09785746111052171
