geodesic,k,rho_largek_mean,rho_largek_std
analytic,1,-0.004181743625681575,0.002274669643908359
analytic,2,-0.008501441400596206,0.005194355308506201
analytic,3,-0.012336035961537189,0.009440756318381852
analytic,4,-0.014807657792328144,0.014482768961077431
analytic,6,-0.017971253598346677,0.028359521783325212
analytic,8,-0.020027936247510283,0.04639480643945521
analytic,10,-0.02210653513669796,0.06692053403404737
analytic,13,-0.026122094122911013,0.0864135848789792
analytic,16,-0.02850458313227565,0.09270699265379183
analytic,20,-0.029111645772050596,0.0940822093088201
analytic,25,-0.02847720671442003,0.09444268513990624
analytic,32,-0.02603155851869144,0.0949469736825481
analytic,40,-0.02139786876348205,0.09574118525346346
analytic,50,-0.013146464097269736,0.09729649954630806
analytic,65,0.0038485907069129134,0.10143547240786416
analytic,85,0.034044113626645674,0.11141295306235552
analytic,100,0.06145409270512333,0.12244736583596542
analytic,150,0.17193063157055644,0.17313410787266792
analytic,200,0.2911720225671776,0.22150350166131433
analytic,300,0.4894969551847529,0.25267140636968866
analytic,500,0.7234244944228554,0.22383491868223607
