seed,method,M,quality,trust,seconds
42,full,5000,0.9870419475354137,0.9969930595530595,95.83985658399979
42,fps,250,0.4783631477564186,0.9380881993681993,0.1644327499998326
42,fps,500,0.48645821432059877,0.9431115572715573,0.545556208002381
42,fps,1000,0.6420151850089646,0.9331234257634259,2.533152333002363
42,fps,2000,0.9554272547626321,0.9869140517140517,6.769195374999981
42,fps,3000,0.9658926410670458,0.9908088732888733,29.950928834001388
42,fps,4000,0.9858168883061932,0.9960030139230139,24.270620916999178
42,kmeans,250,0.4513998860798164,0.9289766888966889,0.19964933300070697
42,kmeans,500,0.4335156168850737,0.9382344588744588,0.5494183750015509
42,kmeans,1000,0.7108243388985329,0.9230137451737452,2.6892176670007757
42,kmeans,2000,0.944755118162442,0.9866988931788931,6.826259208002739
42,kmeans,3000,0.9881209763423352,0.9961346624546624,23.18528704200071
42,kmeans,4000,0.9853054704999892,0.9966876143676143,54.26567166699897
42,random,250,0.4367971880188335,0.9314388112788112,0.12044779099960579
42,random,500,0.4538049249127069,0.9352380952380951,0.5139607089986384
42,random,1000,0.5843178169977137,0.9292822183222184,1.8219617920003657
42,random,2000,0.8230317867476107,0.935971320931321,8.56971799999883
42,random,3000,0.9604266628617268,0.9892314121914121,27.011742832997697
42,random,4000,0.9856463943153914,0.9964951070551071,54.261687833000906
43,full,5000,0.9905925767523995,0.9968534830934831,99.78113949999897
43,fps,250,0.49931651687447465,0.936517177957178,0.15780466599971987
43,fps,500,0.4767343574345514,0.9408306165906166,0.6469569159999082
43,fps,1000,0.7129819846145761,0.9161232713232712,1.8921875830019417
43,fps,2000,0.9266723634833843,0.972654713934714,7.6875842080007715
43,fps,3000,0.9903931771443534,0.9962802574002575,20.009504125002422
43,fps,4000,0.990137623992022,0.996793681993682,56.69175491600254
43,kmeans,250,0.475487309569679,0.9332129074529075,0.18203937499856693
43,kmeans,500,0.4658726285252324,0.9336861588861589,0.6813739169992914
43,kmeans,1000,0.7111888334872707,0.9190294793494792,2.6622140830004355
43,kmeans,2000,0.907592466860417,0.9679721726921727,14.408766708002076
43,kmeans,3000,0.9886735975498278,0.9960730923130923,20.75722633300029
43,kmeans,4000,0.9903216219114181,0.9967867462267462,50.233234374998574
43,random,250,0.4740404816431545,0.9327781162981162,0.13551670800006832
43,random,500,0.45553717540576677,0.9372664092664094,0.5246425830009684
43,random,1000,0.637339920757734,0.9097941453141454,3.144982750000054
43,random,2000,0.8792522593831281,0.9531507101907102,11.805125666000094
43,random,3000,0.9845804689992111,0.9948451339651341,28.56176816700099
43,random,4000,0.9883371041807133,0.9964619539019538,48.035089834000246
44,full,5000,0.9885441987190391,0.9968153691353691,86.1970196250004
44,fps,250,0.5031432325564618,0.9390921071721071,0.15995520899741678
44,fps,500,0.5175281390940645,0.9425230654030653,0.6150097919999098
44,fps,1000,0.7240150560162791,0.9179540704340704,1.980534042002546
44,fps,2000,0.9325904448864144,0.9750878670878671,13.477198791999399
44,fps,3000,0.9680846896334687,0.9908365601965602,24.602806333001354
44,fps,4000,0.9876499511052167,0.9964411278811279,71.08418654200068
44,kmeans,250,0.47605540509219463,0.9343456183456182,0.18378408400167245
44,kmeans,500,0.5043550027388084,0.9352526500526501,0.4698986670009617
44,kmeans,1000,0.6386601094798995,0.9331336843336843,2.487658250000095
44,kmeans,2000,0.9196505693913135,0.9741230186030185,10.709420040999248
44,kmeans,3000,0.9621047949450352,0.9885617784017783,19.41316279199964
44,kmeans,4000,0.9875229824552965,0.9965334456534456,50.224282250001124
44,random,250,0.46222681684778427,0.9387551000351001,0.1357733750010084
44,random,500,0.4474430703133048,0.9455766842166844,0.4762102920030884
44,random,1000,0.5424405970074101,0.9270734152334152,2.8368949579999025
44,random,2000,0.7994864767985065,0.94264,8.776475499998924
44,random,3000,0.9574310339300521,0.991904864864865,30.493020374997286
44,random,4000,0.9896571709809209,0.9965038680238679,56.348795416997746
45,full,5000,0.9863712712673305,0.9966192582192582,69.8590097080014
45,fps,250,0.504841860929093,0.9360697601497602,0.1592730419979489
45,fps,500,0.507487117489096,0.9404727366327367,0.565710750001017
45,fps,1000,0.688941152489436,0.9331781256581256,1.7306043329990644
45,fps,2000,0.927421478828342,0.9735297250497251,7.029279916001542
45,fps,3000,0.9667416947812411,0.9894192020592021,17.257627207996848
45,fps,4000,0.987932034727795,0.9964937311337311,49.121317790999456
45,kmeans,250,0.47650601922361524,0.9294957388557389,0.18898724999962724
45,kmeans,500,0.4547235030931465,0.9411008587808587,0.6517245420000108
45,kmeans,1000,0.6367925140326455,0.9224763683163683,2.339206041997386
45,kmeans,2000,0.9070267875293214,0.9674413478413478,13.409049875001074
45,kmeans,3000,0.9861194653750772,0.9957468211068211,26.70972658300161
45,kmeans,4000,0.9866676313139185,0.9962614812214812,50.52694558400253
45,random,250,0.506004721887578,0.9324367941967943,0.1720379590005905
45,random,500,0.4585170396546815,0.9381634725634724,0.4647420000001148
45,random,1000,0.6823256446021128,0.9271533777933778,2.130908792001719
45,random,2000,0.7915281298311023,0.9342375757575757,9.145906499998091
45,random,3000,0.9612409382573102,0.989860854100854,23.91222133300107
45,random,4000,0.9842740425401536,0.9962210272610273,43.44947154200054
46,full,5000,0.9894005657556009,0.9970740985140986,97.77818216599917
46,fps,250,0.49284872354897324,0.9440706774306774,0.15864383300140616
46,fps,500,0.4889602801974792,0.9419232666432666,0.5839767910001683
46,fps,1000,0.584917490069778,0.9332572270972271,3.1431383750023087
46,fps,2000,0.9550021579329107,0.9856212285012286,6.3725830410003255
46,fps,3000,0.9667596076850521,0.9907281712881714,20.231266125003458
46,fps,4000,0.991649647244432,0.996785183105183,57.13004012499732
46,kmeans,250,0.4504123863284617,0.9214172177372177,0.243509832998825
46,kmeans,500,0.43680988917162694,0.9405722896922896,0.6894822079993901
46,kmeans,1000,0.5713931862196813,0.9151572247572247,2.646384790998127
46,kmeans,2000,0.9211524132943696,0.9791381303381304,13.914316624999628
46,kmeans,3000,0.9280813783097648,0.9720074505674505,36.317266082998685
46,kmeans,4000,0.9655149559085972,0.9913814437814438,52.33912304200203
46,random,250,0.4605776119430458,0.9362092804492804,0.12252533300124924
46,random,500,0.4469882996817638,0.9278044132444132,0.6613986250013113
46,random,1000,0.5718304272677853,0.9347612402012402,2.7870704580018355
46,random,2000,0.8688233427667102,0.9580706867906869,11.453468540999893
46,random,3000,0.9537593105411024,0.986847342927343,25.487575791998097
46,random,4000,0.9610763458754433,0.9913298420498419,54.713332791998255
47,full,5000,0.986458024629385,0.9964301673101672,120.42999579200114
47,fps,250,0.48910305531324394,0.9332556452556452,0.17339183400326874
47,fps,500,0.5142335255457354,0.9466331016731017,0.5714995829985128
47,fps,1000,0.6525509475493676,0.9434146437346438,2.636037292002584
47,fps,2000,0.9657509624651117,0.9867422861822861,7.602972958000464
47,fps,3000,0.9896181013290866,0.9960764057564058,16.109716124999977
47,fps,4000,0.9887761681322631,0.9968251784251785,41.857135291000304
47,kmeans,250,0.48095607582684546,0.9302678460278461,0.1652408750014729
47,kmeans,500,0.46919636174123497,0.9397695378495379,0.624251583001751
47,kmeans,1000,0.6381849356043029,0.9132484754884754,2.6987252079998143
47,kmeans,2000,0.9353221682860522,0.981586970866971,12.196858291001263
47,kmeans,3000,0.9838805325134423,0.9958504176904177,26.727965375001077
47,kmeans,4000,0.9860677986790185,0.9965438633438632,66.31086416699691
47,random,250,0.46554414606028705,0.9369397823797824,0.16033533399968292
47,random,500,0.4663208688777239,0.9358346460746462,0.5335074159993383
47,random,1000,0.522873680916487,0.9353503591903591,1.6556207499997981
47,random,2000,0.8759805790099497,0.9633003767403767,8.304176166999241
47,random,3000,0.9848350195570226,0.995967941967942,22.269427667000855
47,random,4000,0.9864797927827867,0.9965221200421202,64.17732483399959
48,full,5000,0.9883699821052636,0.9971262056862057,82.20325262500046
48,fps,250,0.4917566795083386,0.9389515291915292,0.14853287499863654
48,fps,500,0.47442627740612114,0.9361754908154908,0.5900840410031378
48,fps,1000,0.6468810806337885,0.9320384883584883,2.8056490420021873
48,fps,2000,0.9347447420321455,0.9754729285129284,8.993695958000899
48,fps,3000,0.9879220089631036,0.9944901556101555,34.99539174999882
48,fps,4000,0.9898217924603644,0.9967412004212004,43.587173916999745
48,kmeans,250,0.46958806608410947,0.9337153246753248,0.20882329199957894
48,kmeans,500,0.4595376816218972,0.9390799204399204,0.6556888750019425
48,kmeans,1000,0.6373207304629431,0.9155286018486019,2.7857756669982336
48,kmeans,2000,0.8760928747692054,0.9486829718029718,8.392730457999278
48,kmeans,3000,0.9537861395352426,0.9836192628992629,29.911176292000164
48,kmeans,4000,0.9889244607052974,0.9966124254124255,59.38033770900074
48,random,250,0.434211068553342,0.9362036831636833,0.16326120799931232
48,random,500,0.45766020346808856,0.9374271487071487,0.5967520000012883
48,random,1000,0.5187049379604205,0.9353578378378379,2.1554067920005764
48,random,2000,0.8540721769890801,0.9429230934830933,8.747545750000427
48,random,3000,0.9877798247126923,0.9951368480168482,22.77053487500234
48,random,4000,0.9863771745364733,0.9966351889551889,49.31235129199922
49,full,5000,0.9886036295753317,0.9965594758394758,116.57929058399895
49,fps,250,0.47506509819541465,0.938235656955657,0.19440516699978616
49,fps,500,0.48107242195880173,0.9408005054405054,0.7230612500025018
49,fps,1000,0.6836440303243253,0.9312536702936702,2.384880375000648
49,fps,2000,0.9343016491647154,0.975056716976717,7.231502790997183
49,fps,3000,0.991127939489106,0.9959569252369253,17.024216375000833
49,fps,4000,0.9867511576856014,0.9961749385749386,74.73527291700157
49,kmeans,250,0.47355194254588356,0.9368679162279162,0.24612866700044833
49,kmeans,500,0.4635640271654178,0.9394772247572247,0.6630169590025616
49,kmeans,1000,0.6181682775040949,0.9206642985842985,2.6607788750006875
49,kmeans,2000,0.9278157819332455,0.9750159073359073,15.539405875002558
49,kmeans,3000,0.966806484444013,0.9892316461916462,30.5803892920012
49,kmeans,4000,0.9879313234344332,0.9964501602901603,54.6814586670007
49,random,250,0.46203716162176656,0.930200482040482,0.17941616700045415
49,random,500,0.4771011624198063,0.9373736000936,0.7976877499968396
49,random,1000,0.5408675950054821,0.9307893108693109,2.7636508750001667
49,random,2000,0.6994648838457206,0.9406584766584768,4.670206666000013
49,random,3000,0.9115773426663615,0.9652100807300807,22.417006416999357
49,random,4000,0.9868743226521286,0.9964328349128349,55.826454417001514
50,full,5000,0.9881190627829917,0.9968318708318709,78.23283054200147
50,fps,250,0.49318142128397113,0.9380977933777934,0.15336158400168642
50,fps,500,0.5088877213439726,0.9387547537147537,0.5559349159993872
50,fps,1000,0.6966097042258999,0.9235319995319995,2.2514718329985044
50,fps,2000,0.9526984519915813,0.9851284988884988,7.544052083998395
50,fps,3000,0.9639497244892233,0.9903234164034164,31.54814187499869
