noise,seed,method,l1_spearman,l2_spearman
0.0,42,Euclidean,0.5211385322789022,
0.0,42,Isomap,0.8959466541544047,0.8843538614825431
0.0,42,Shortest Path,0.8959466541544047,0.9178724786019137
0.0,42,Diffusion Maps,0.5121731569823951,0.9120395599932098
0.0,42,PHATE,0.845648211160385,0.844122704113318
0.0,42,HeatGeo,0.8178887309803551,0.7966671540199529
0.0,42,DTNE,0.8938907259560712,0.9137076033497229
0.0,42,EntroPath,0.902813093073564,0.9193754998933401
0.0,43,Euclidean,0.5196590327498585,
0.0,43,Isomap,0.8258623432895127,0.758107958017297
0.0,43,Shortest Path,0.8258623432895127,0.7826497878886891
0.0,43,Diffusion Maps,0.5181048126352966,0.9178340674954595
0.0,43,PHATE,0.8077267151053005,0.78261814580188
0.0,43,HeatGeo,0.7897475638630126,0.7460144722736746
0.0,43,DTNE,0.8342208721169896,0.8113654222561731
0.0,43,EntroPath,0.8995374375821545,0.8961583219868193
0.0,44,Euclidean,0.5284045810330091,
0.0,44,Isomap,0.8399092952715098,0.798924016513512
0.0,44,Shortest Path,0.8399092952715098,0.8460000316141554
0.0,44,Diffusion Maps,0.49572157559560565,0.9081193003663995
0.0,44,PHATE,0.8121092416846561,0.8089175102145668
0.0,44,HeatGeo,0.7903678939432179,0.7855859924339047
0.0,44,DTNE,0.8140995837851358,0.8189521707557984
0.0,44,EntroPath,0.8843539045468681,0.8889115227057974
0.0,45,Euclidean,0.5194811721108302,
0.0,45,Isomap,0.8072016903549373,0.7464149123638397
0.0,45,Shortest Path,0.8072016903549373,0.7826750951767176
0.0,45,Diffusion Maps,0.5044455690931052,0.8769400932793725
0.0,45,PHATE,0.771678594566803,0.7522920152020456
0.0,45,HeatGeo,0.7626078261270275,0.7150894178290346
0.0,45,DTNE,0.8085301349270732,0.7875913907922432
0.0,45,EntroPath,0.8672805175049989,0.8601597215124079
0.0,46,Euclidean,0.5258206714520924,
0.0,46,Isomap,0.8571807796563449,0.8459968668230513
0.0,46,Shortest Path,0.8571807796563449,0.8846283011250371
0.0,46,Diffusion Maps,0.5089949436242146,0.9010795946644493
0.0,46,PHATE,0.8082151967304974,0.8334504179664908
0.0,46,HeatGeo,0.7829118118653923,0.8364475499942163
0.0,46,DTNE,0.8518051749117803,0.8812667115742557
0.0,46,EntroPath,0.8752156821676604,0.8954596319909205
0.0,47,Euclidean,0.5244545798094243,
0.0,47,Isomap,0.9541369463568121,0.9540214146187209
0.0,47,Shortest Path,0.9541369463568121,0.9629919490653736
0.0,47,Diffusion Maps,0.49094677606295645,0.9158063962694561
0.0,47,PHATE,0.882272264125306,0.898132470166014
0.0,47,HeatGeo,0.8876962034282908,0.9136713655408787
0.0,47,DTNE,0.9394279832551412,0.9444676663572027
0.0,47,EntroPath,0.9379689301129545,0.9493939490315729
0.0,48,Euclidean,0.5230810717641105,
0.0,48,Isomap,0.8528613467341779,0.8145953097194244
0.0,48,Shortest Path,0.8528613467341779,0.8549556030087117
0.0,48,Diffusion Maps,0.48071194059567324,0.89200086511499
0.0,48,PHATE,0.8157672581072819,0.8064122742722714
0.0,48,HeatGeo,0.7941111673802368,0.7574362835329077
0.0,48,DTNE,0.8271931283449534,0.8305669641322163
0.0,48,EntroPath,0.8690441927322521,0.8733688879777727
0.0,49,Euclidean,0.5190635300052429,
0.0,49,Isomap,0.8363509730826374,0.7925664379532109
0.0,49,Shortest Path,0.8363509730826374,0.841360505351775
0.0,49,Diffusion Maps,0.4785309069587346,0.9114877342229675
0.0,49,PHATE,0.8284408577464408,0.8378167051769129
0.0,49,HeatGeo,0.8066695885269963,0.799144387264954
0.0,49,DTNE,0.8512386047387234,0.8764307886706117
0.0,49,EntroPath,0.8678009498306424,0.8798829843773239
0.0,50,Euclidean,0.5211501170262308,
0.0,50,Isomap,0.8110598493563599,0.7495213358849095
0.0,50,Shortest Path,0.8110598493563599,0.781921294286032
0.0,50,Diffusion Maps,0.49249402354931227,0.9094569784366658
0.0,50,PHATE,0.7948676049931873,0.7804936075755596
0.0,50,HeatGeo,0.7771734088711023,0.7315046567600618
0.0,50,DTNE,0.8006580693785331,0.767419872328807
0.0,50,EntroPath,0.8729709969842279,0.8881467163213739
0.0,51,Euclidean,0.5366822347570183,
0.0,51,Isomap,0.8202309948960967,0.7598017146298376
0.0,51,Shortest Path,0.8202309948960967,0.7806182469139976
0.0,51,Diffusion Maps,0.46706120285818586,0.8828842357199621
0.0,51,PHATE,0.7621325196074014,0.748390275345631
0.0,51,HeatGeo,0.7605831173664912,0.7159519547416351
0.0,51,DTNE,0.7768721488544573,0.7353689757003127
0.0,51,EntroPath,0.8417512293571712,0.8331196076927354
0.0,52,Euclidean,0.5320566045567828,
0.0,52,Isomap,0.8236733319242204,0.7914023781643075
0.0,52,Shortest Path,0.8236733319242204,0.8551243242139089
0.0,52,Diffusion Maps,0.5349863513731341,0.9300223291044922
0.0,52,PHATE,0.7697756192488137,0.7921143285862151
0.0,52,HeatGeo,0.7569433702857437,0.6973099468330262
0.0,52,DTNE,0.8206786195853183,0.8567146185097053
0.0,52,EntroPath,0.8836672716275555,0.9043263037787663
0.0,53,Euclidean,0.5545506132300385,
0.0,53,Isomap,0.8149880350460516,0.7489122607692736
0.0,53,Shortest Path,0.8149880350460516,0.7711160361532118
0.0,53,Diffusion Maps,0.4784870574145932,0.9101169472746885
0.0,53,PHATE,0.7879381326992326,0.7748096961190807
0.0,53,HeatGeo,0.779529245750503,0.729105864597464
0.0,53,DTNE,0.8011898970528808,0.7635840271374427
0.0,53,EntroPath,0.8707890399343816,0.8519831735191922
0.0,54,Euclidean,0.5251359272706925,
0.0,54,Isomap,0.8481379431404893,0.7993162679357697
0.0,54,Shortest Path,0.8481379431404893,0.8350880897828795
0.0,54,Diffusion Maps,0.5006416063362013,0.9086450925147259
0.0,54,PHATE,0.8447758718270547,0.8559009977976978
0.0,54,HeatGeo,0.8148338482672268,0.8118373192437061
0.0,54,DTNE,0.9307567640254063,0.9358741730587516
0.0,54,EntroPath,0.9341190430200086,0.9470606131046004
0.0,55,Euclidean,0.5305203944780199,
0.0,55,Isomap,0.8445211215239753,0.7909591624716263
0.0,55,Shortest Path,0.8445211215239753,0.8411660060330466
0.0,55,Diffusion Maps,0.48937032710950074,0.8990632484560599
0.0,55,PHATE,0.7975608549612645,0.7832840606609611
0.0,55,HeatGeo,0.7844198758906481,0.7458238469407377
0.0,55,DTNE,0.813279969511783,0.801589132689468
0.0,55,EntroPath,0.8651219884356595,0.8694296651050751
0.0,56,Euclidean,0.5149348992912374,
0.0,56,Isomap,0.8512833857965019,0.813963755026913
0.0,56,Shortest Path,0.8512833857965019,0.8655076071609378
0.0,56,Diffusion Maps,0.5128192732349659,0.9145826297262746
0.0,56,PHATE,0.8389908697622085,0.8558842294240214
0.0,56,HeatGeo,0.8201105796862396,0.8676620561977686
0.0,56,DTNE,0.8491428244430024,0.8822464782203415
0.0,56,EntroPath,0.8858662517617669,0.8992807224100038
0.0,57,Euclidean,0.5313002926418164,
0.0,57,Isomap,0.8296012095199253,0.7673323350098474
0.0,57,Shortest Path,0.8296012095199253,0.8102755390165053
0.0,57,Diffusion Maps,0.49243272108351477,0.9136285819734192
0.0,57,PHATE,0.8088099430608698,0.8049406584470914
0.0,57,HeatGeo,0.7966203509517522,0.7619945779834362
0.0,57,DTNE,0.8074770172939323,0.7890695198823137
0.0,57,EntroPath,0.8743466651952103,0.871508828894928
0.0,58,Euclidean,0.5312211908566896,
0.0,58,Isomap,0.844199203596543,0.7889884955195317
0.0,58,Shortest Path,0.844199203596543,0.8306078232209199
0.0,58,Diffusion Maps,0.5249379159745038,0.8983236695675166
0.0,58,PHATE,0.825734170051993,0.8337462841277997
0.0,58,HeatGeo,0.8087324367469021,0.7815393791242469
0.0,58,DTNE,0.8723053710796842,0.8988139410981768
0.0,58,EntroPath,0.8872642345617254,0.9038251844683605
0.0,59,Euclidean,0.5341162858148293,
0.0,59,Isomap,0.8211230690653135,0.7587074509634698
0.0,59,Shortest Path,0.8211230690653135,0.777799276470067
0.0,59,Diffusion Maps,0.4924443415206102,0.9038519316084469
0.0,59,PHATE,0.8055854940593421,0.7930537371140527
